entry_go_key,show_no,focus_day,ring_day_no,ring_no,class_no,class_start_time,display_time,entry_count,entry_no,entry_order,horse,rider,trainer,go_time
29164|1085|6,14906,2026-06-10,4174,684,29164,07:30:00,7:30 am,45,1085,6,Conthargos Gold,Rebecca Conway,Conan Conway,
29164|1108|7,14906,2026-06-10,4174,684,29164,07:30:00,7:30 am,45,1108,7,Cali Blue Ps,Jessica Cross,Jessica Cross,
29164|1109|8,14906,2026-06-10,4174,684,29164,07:30:00,7:30 am,45,1109,8,Odilon,Soleil Katsur,Jessica Cross,
29164|1224|9,14906,2026-06-10,4174,684,29164,07:30:00,7:30 am,45,1224,9,Lord Cornet,Megan Wexler,Megan Wexler,
29164|1241|10,14906,2026-06-10,4174,684,29164,07:30:00,7:30 am,45,1241,10,Balou Blue Z,Brittni A. Raflowitz,Brittni A. Raflowitz,
29164|1346|11,14906,2026-06-10,4174,684,29164,07:30:00,7:30 am,45,1346,11,Britney Ps,Cullen Drescher,Derek Reed,
29164|1347|12,14906,2026-06-10,4174,684,29164,07:30:00,7:30 am,45,1347,12,Oscars Afterparty,Cullen Drescher,Derek Reed,
29164|1425|13,14906,2026-06-10,4174,684,29164,07:30:00,7:30 am,45,1425,13,Categorico Ec Z,Devin A. Seek,Stefano Baruzzo,
29164|1519|14,14906,2026-06-10,4174,684,29164,07:30:00,7:30 am,45,1519,14,Mtm Clarcona,Anna Mead,Stephen Dicarlo,
29164|1563|15,14906,2026-06-10,4174,684,29164,07:30:00,7:30 am,45,1563,15,Herlich,Bowers A. Cone,Stephen Dicarlo,
29164|1595|16,14906,2026-06-10,4174,684,29164,07:30:00,7:30 am,45,1595,16,Levano,Sarah E. Turner,Ben Taylor,
29164|1679|17,14906,2026-06-10,4174,684,29164,07:30:00,7:30 am,45,1679,17,Tarzan Z,Ana Cristina Rodriguez,Juan A. Rodriguez Silva,
29164|1682|18,14906,2026-06-10,4174,684,29164,07:30:00,7:30 am,45,1682,18,Allegra Van Het Eikenhof Z,Aria Collins,Jessica Collins,
