class_oog_key,ring,ring_no,ring_day_no,class_order,class_no,class_label,class_number,class_payout,class_name,entry_order,entry_no,horse,rider,trainer,source_endpoint,source_payload
29128|1035,,684,,,29128,,,,,2,1035,Ideal,Tanner Korotkin,Alan Korotkin,class_oog.php,
29128|1039,,684,,,29128,,,,,3,1039,King Z,Tanner Korotkin,Alan Korotkin,class_oog.php,
29128|1076,,684,,,29128,,,,,4,1076,Curioso Van Maarle Z,Hector Florentino,Benjamin J. Meredith,class_oog.php,
29128|1105,,684,,,29128,,,,,5,1105,Legacy Rs,Lauren E. Hough,Benjamin J. Meredith,class_oog.php,
29128|1261,,684,,,29128,,,,,6,1261,Com'on Kylie M,Sophia Ayers,Ben Taylor,class_oog.php,
29128|1288,,684,,,29128,,,,,7,1288,Cash The First Des Rosiers Z,Angela Swanson,Angela Swanson,class_oog.php,
29128|1289,,684,,,29128,,,,,8,1289,Engas Aurantiaco,Angela Swanson,Angela Swanson,class_oog.php,
29128|1336,,684,,,29128,,,,,9,1336,Dorothea Mystic Rose,Juan M. Bolanos,Juan M. Bolanos,class_oog.php,
29128|1340,,684,,,29128,,,,,10,1340,Light Blue Mystic Rose,Juan M. Bolanos,Juan M. Bolanos,class_oog.php,
29128|1347,,684,,,29128,,,,,11,1347,Oscars Afterparty,Cullen Drescher,Derek Reed,class_oog.php,
29128|1440,,684,,,29128,,,,,12,1440,Maeberry,Matthew Le Master,Matthew Le Master,class_oog.php,
29128|1566,,684,,,29128,,,,,13,1566,Itos S,Antonio J. Martinez,Antonio J. Martinez,class_oog.php,
29128|1568,,684,,,29128,,,,,14,1568,Picobella De Pot,Antonio J. Martinez,Antonio J. Martinez,class_oog.php,
29128|1647,,684,,,29128,,,,,15,1647,Dionte Van’t Merelsnest Z,Juan A. Rodriguez Silva,Juan A. Rodriguez Silva,class_oog.php,
29128|1660,,684,,,29128,,,,,16,1660,Luau Cove Csf,Kyle Dewar,Kyle Dewar,class_oog.php,
29128|1666,,684,,,29128,,,,,17,1666,F.ellouette,Sebastian Presa Tejada,Juan A. Rodriguez Silva,class_oog.php,
29128|1692,,684,,,29128,,,,,18,1692,Cruise Mor,Lindsay Haselden,Lindsay Haselden,class_oog.php,
29128|1694,,684,,,29128,,,,,19,1694,Hector Du Gue,Ryan Haselden,Declan Egan,class_oog.php,
29128|1766,,684,,,29128,,,,,20,1766,Diatendra,Robert Mendoza,Robert Mendoza,class_oog.php,
29128|1853,,684,,,29128,,,,,21,1853,Indiana De Riverland,Declan Egan,Declan Egan,class_oog.php,
29128|1880,,684,,,29128,,,,,22,1880,Poliana Van Op De Berg,Alberto Sarmiento,Juan M. Bolanos,class_oog.php,
29128|1902,,684,,,29128,,,,,23,1902,Born To Be Wild,Jamie Alnwick,Scott Keach,class_oog.php,
29128|1910,,684,,,29128,,,,,24,1910,Mtm Cascadela,Evana Somareddy,Heather Dayner,class_oog.php,
29128|1913,,684,,,29128,,,,,25,1913,Boleybawn Rolo,Bryce P. Richardson,Bryce P. Richardson,class_oog.php,
29128|1961,,684,,,29128,,,,,26,1961,Fernhill Athletico Z,Lauren E. Hough,Lauren E. Hough,class_oog.php,
29128|2023,,684,,,29128,,,,,27,2023,Joaquin Daloubet,Cristobal Castro,Cristobal Castro,class_oog.php,
