class_no,class_number,class_payout,class_name,class_label,source
29059,263,,"USHJA Hunter 2'3""","263) USHJA Hunter 2'3""",counts.php
29060,264,,"USHJA Hunter 2'3"" U/S","264) USHJA Hunter 2'3"" U/S",counts.php
29061,265,,"USHJA Hunter 2'6""","265) USHJA Hunter 2'6""",counts.php
29062,266,,"USHJA Hunter 2'6""","266) USHJA Hunter 2'6""",counts.php
29063,267,,"USHJA Hunter 2'6""","267) USHJA Hunter 2'6""",counts.php
29064,268,,"USHJA Hunter 2'6""","268) USHJA Hunter 2'6""",counts.php
29065,269,,"USHJA Hunter 2'6"" U/S","269) USHJA Hunter 2'6"" U/S",counts.php
29264,270,,"USHJA Hunter 2'9""","270) USHJA Hunter 2'9""",counts.php
29263,271,,"USHJA Hunter 2'9""","271) USHJA Hunter 2'9""",counts.php
29262,272,,"USHJA Hunter 2'9""","272) USHJA Hunter 2'9""",counts.php
29261,273,,"USHJA Hunter 2'9""","273) USHJA Hunter 2'9""",counts.php
29260,274,,"USHJA Hunter 2'9"" U/S","274) USHJA Hunter 2'9"" U/S",counts.php
29066,275,,USHJA Hunter 3',275) USHJA Hunter 3',counts.php
29067,276,,USHJA Hunter 3',276) USHJA Hunter 3',counts.php
29068,277,,USHJA Hunter 3',277) USHJA Hunter 3',counts.php
29069,278,,USHJA Hunter 3',278) USHJA Hunter 3',counts.php
29070,279,,USHJA Hunter 3'' U/S,279) USHJA Hunter 3'' U/S,counts.php
29046,280,,"Baby Green Hunter 2'6""","280) Baby Green Hunter 2'6""",counts.php
29047,281,,Baby Green Hunter 2'6',281) Baby Green Hunter 2'6',counts.php
29048,282,,Baby Green Hunter 2'6',282) Baby Green Hunter 2'6',counts.php
29049,283,,"Baby Green Hunter 2'6""","283) Baby Green Hunter 2'6""",counts.php
29050,284,,Baby Green Hunter U/S,284) Baby Green Hunter U/S,counts.php
29429,305,,$100 Low Children's Hunter 14 & U 2'6',305) $100 Low Children's Hunter 14 & U 2'6',counts.php
29430,306,,"$100 Low Children's Hunter 14 & U (1st rnd Classic) 2'6""","306) $100 Low Children's Hunter 14 & U (1st rnd Classic) 2'6""",counts.php
29444,307,,$100 Low Children's Hunter 14 & U 2'6',307) $100 Low Children's Hunter 14 & U 2'6',counts.php
29445,308,,$100 Low Children's Hunter 14 & U 2'6',308) $100 Low Children's Hunter 14 & U 2'6',counts.php
29446,309,,$50 Low Children's Hunter 14 & U 2'6' U/S,309) $50 Low Children's Hunter 14 & U 2'6' U/S,counts.php
29015,310,,$100 Low Children's Hunter 15-17 2'6',310) $100 Low Children's Hunter 15-17 2'6',counts.php
29016,311,,"$100 Low Children's Hunter 15-17(1st rnd Classic) 2'6""","311) $100 Low Children's Hunter 15-17(1st rnd Classic) 2'6""",counts.php
29017,312,,$100 Low Children's Hunter 15-17 2'6',312) $100 Low Children's Hunter 15-17 2'6',counts.php
29018,313,,$100 Low Children's Hunter 15-17 2'6',313) $100 Low Children's Hunter 15-17 2'6',counts.php
29019,314,,$50 Low Children's Hunter 15-17 2'6' U/S,314) $50 Low Children's Hunter 15-17 2'6' U/S,counts.php
29020,315,,$100 Low Children's Pony Hunter 2',315) $100 Low Children's Pony Hunter 2',counts.php
29021,316,,$100 Low Children's Pony Hunter 2',316) $100 Low Children's Pony Hunter 2',counts.php
29022,317,,$100 Low Children's Pony Hunter 2',317) $100 Low Children's Pony Hunter 2',counts.php
29023,318,,$100 Low Children's Pony Hunter 2',318) $100 Low Children's Pony Hunter 2',counts.php
29024,319,,$50 Low Children's Pony Hunter U/S,319) $50 Low Children's Pony Hunter U/S,counts.php
29025,320,,"$100 Low Adult Hunter 18-35 2'6""","320) $100 Low Adult Hunter 18-35 2'6""",counts.php
29026,321,,"$100 Low Adult Hunter 18-35 (1st rnd Classic) 2'6""","321) $100 Low Adult Hunter 18-35 (1st rnd Classic) 2'6""",counts.php
29027,322,,"$100 Low Adult Hunter 18-35 2'6""","322) $100 Low Adult Hunter 18-35 2'6""",counts.php
29028,323,,"$100 Low Adult Hunter 18-35 2'6""","323) $100 Low Adult Hunter 18-35 2'6""",counts.php
29029,324,,$50 Low Adult Hunter 18-35 U/S,324) $50 Low Adult Hunter 18-35 U/S,counts.php
29030,325,,"$100 Low Adult Hunter 36-54 2'6""","325) $100 Low Adult Hunter 36-54 2'6""",counts.php
29031,326,,$100 Low Adult Hunter 36-54 (1st rnd Classic) 2'6',326) $100 Low Adult Hunter 36-54 (1st rnd Classic) 2'6',counts.php
29032,327,,"$100 Low Adult Hunter 36-54 2'6""","327) $100 Low Adult Hunter 36-54 2'6""",counts.php
29034,328,,"$100 Low Adult Hunter 36-54 2'6""","328) $100 Low Adult Hunter 36-54 2'6""",counts.php
29035,329,,$50 Low Adult Hunter 36-54 U/S,329) $50 Low Adult Hunter 36-54 U/S,counts.php
29036,330,,"$100 Low Adult Hunter 55+ 2'6""","330) $100 Low Adult Hunter 55+ 2'6""",counts.php
29037,331,,$100 Low Adult Hunter 55+ (1st rnd Classic) 2'6',331) $100 Low Adult Hunter 55+ (1st rnd Classic) 2'6',counts.php
29038,332,,"$100 Low Adult Hunter 55+ 2'6""","332) $100 Low Adult Hunter 55+ 2'6""",counts.php
29039,333,,"$100 Low Adult Hunter 55+ 2'6""","333) $100 Low Adult Hunter 55+ 2'6""",counts.php
29040,334,,$50 Low Adult Hunter 55+ U/S,334) $50 Low Adult Hunter 55+ U/S,counts.php
29176,404,,"$10,000 USHJA UF Vet Hunter Derby 3' Open","404) $10,000 USHJA UF Vet Hunter Derby 3' Open",counts.php
29177,405,,"$10,000 USHJA National Hunter Derby 3' Jr/Am","405) $10,000 USHJA National Hunter Derby 3' Jr/Am",counts.php
29178,406,,"$10,000 Golden Ocala Hunter Derby 3'6/3'9","406) $10,000 Golden Ocala Hunter Derby 3'6/3'9",counts.php
